Customer_ID,Name,Age,Gender,Region,Income,Existing_Loans,Loan_Amount,Credit_Card_Debt,Savings,Investments,Credit_Score,Employment_Status,Risk_Score
100000,Customer_0,56,Female,Urban,29179,No,0,9251,38403,30026,364,Employed,5.68
100001,Customer_1,69,Male,Urban,189695,Yes,74064,8948,84652,20112,728,Employed,0.0
100002,Customer_2,46,Female,Suburban,168659,Yes,172399,22878,47791,83895,756,Employed,33.79
100003,Customer_3,32,Female,Suburban,174805,No,0,187,28289,125745,435,Self-employed,9.2
100004,Customer_4,60,Male,Urban,119423,No,0,32270,56679,166747,347,Employed,48.72
100005,Customer_5,25,Female,Suburban,143076,Yes,29946,43341,24109,116123,493,Employed,100.0
100006,Customer_6,78,Male,Suburban,155047,No,0,20962,44439,44427,416,Employed,0.0
100007,Customer_7,38,Female,Urban,95138,No,0,29911,25415,104219,463,Employed,57.85
100008,Customer_8,56,Female,Urban,196535,Yes,134622,19098,84339,22573,778,Employed,3.59
100009,Customer_9,75,Female,Rural,193226,Yes,422772,7408,11181,126017,586,Employed,36.68
100010,Customer_10,36,Female,Suburban,106706,No,0,16679,99252,86757,835,Self-employed,0.0
100011,Customer_11,40,Female,Rural,136905,Yes,382553,3533,71246,138144,793,Employed,40.28
100012,Customer_12,28,Male,Urban,48830,Yes,132280,4140,29395,135522,704,Self-employed,16.91
100013,Customer_13,28,Female,Rural,130076,Yes,382755,36810,80036,85078,395,Employed,100.0
100014,Customer_14,41,Male,Urban,197817,No,0,26618,35209,186873,796,Employed,8.34
100015,Customer_15,70,Female,Urban,50609,No,0,20654,36158,10506,553,Retired,0.0
100016,Customer_16,53,Male,Rural,37401,Yes,399051,30775,67920,171825,713,Self-employed,91.23
100017,Customer_17,57,Male,Urban,178801,Yes,449861,40501,19540,159303,670,Employed,100.0
100018,Customer_18,41,Female,Suburban,123480,No,0,14676,5396,165987,542,Employed,14.34
100019,Customer_19,20,Male,Urban,138278,No,0,6005,2391,48313,672,Self-employed,7.95
100020,Customer_20,39,Female,Suburban,196239,No,0,5870,57574,189275,338,Retired,23.23
100021,Customer_21,70,Male,Rural,77391,No,0,3904,17652,126991,652,Self-employed,0.0
100022,Customer_22,19,Male,Urban,146543,No,0,48235,86837,172432,725,Self-employed,87.43
100023,Customer_23,41,Female,Suburban,148886,Yes,19927,11973,10716,22513,376,Employed,32.45
100024,Customer_24,61,Male,Urban,114583,No,0,46976,16568,3744,809,Retired,22.53
100025,Customer_25,47,Male,Suburban,157719,No,0,2261,9669,195012,816,Employed,0.0
100026,Customer_26,55,Female,Urban,172178,No,0,45813,70807,77928,439,Employed,71.23
100027,Customer_27,19,Male,Urban,26015,No,0,17804,50390,41962,551,Retired,47.03
100028,Customer_28,77,Female,Urban,41506,Yes,166825,23077,81764,154326,616,Employed,10.8
100029,Customer_29,38,Male,Urban,44067,Yes,187600,47276,80792,21088,719,Employed,99.98
100030,Customer_30,50,Male,Rural,150819,No,0,24680,91721,62682,374,Employed,42.86
100031,Customer_31,29,Female,Urban,22056,No,0,16862,24386,190259,328,Self-employed,58.89
100032,Customer_32,75,Male,Urban,49328,No,0,21902,25152,192295,340,Employed,10.05
100033,Customer_33,39,Male,Urban,97712,No,0,39345,88803,119000,840,Employed,31.12
100034,Customer_34,78,Male,Urban,72832,Yes,254307,39553,79315,155210,791,Employed,39.41
100035,Customer_35,61,Male,Suburban,62771,Yes,202756,8884,15434,1285,399,Employed,35.13
100036,Customer_36,42,Female,Rural,117421,No,0,3038,30000,131799,619,Self-employed,0.0
100037,Customer_37,66,Male,Urban,197587,Yes,435561,32961,28973,70983,822,Employed,73.83
100038,Customer_38,44,Female,Rural,84538,No,0,31562,38861,139049,488,Employed,50.71
100039,Customer_39,76,Female,Suburban,60151,Yes,185345,26065,7438,17711,749,Employed,6.08
100040,Customer_40,59,Male,Urban,152701,No,0,32084,13729,79930,393,Employed,44.18
100041,Customer_41,45,Female,Suburban,103463,No,0,49210,96002,159959,480,Employed,85.7
100042,Customer_42,77,Male,Suburban,116853,No,0,11801,27407,10717,620,Employed,0.0
100043,Customer_43,33,Other,Suburban,109432,Yes,437614,20957,96098,179060,582,Employed,100.0
100044,Customer_44,32,Male,Rural,48155,No,0,2580,89094,12056,690,Employed,0.0
100045,Customer_45,79,Female,Urban,169360,No,0,26544,92266,77604,620,Retired,0.0
100046,Customer_46,79,Female,Rural,70588,No,0,45647,43711,27414,324,Unemployed,54.43
100047,Customer_47,64,Male,Suburban,187157,Yes,76466,45013,93597,157276,559,Employed,59.55
100048,Customer_48,79,Female,Urban,31251,Yes,346068,32454,88365,154038,796,Employed,41.72
100049,Customer_49,68,Female,Suburban,122420,Yes,126411,46401,79191,151504,512,Employed,72.85
100050,Customer_50,61,Male,Urban,176646,Yes,58965,11277,87501,197167,414,Retired,9.39
100051,Customer_51,72,Male,Rural,29623,No,0,40391,56850,38699,751,Employed,2.43
100052,Customer_52,69,Female,Suburban,74715,No,0,32988,82852,160349,789,Employed,0.0
100053,Customer_53,74,Female,Urban,26123,Yes,24201,875,74895,150626,827,Retired,0.0
100054,Customer_54,20,Other,Urban,23061,Yes,274565,11654,15172,178764,684,Employed,72.75
100055,Customer_55,54,Female,Suburban,126393,Yes,110351,1196,70078,3839,717,Employed,0.0
100056,Customer_56,68,Female,Urban,122035,No,0,49487,16529,85209,518,Employed,53.03
